id_album|id_artist|name_album|type_album|total_tracks_album|release_date_album|duration_ms_total_album|populariy_album|extract_datetime
0bUTHlWbkSQysoM3VsWldT|3AA28KZvwAUcZuOKwyblJQ|Demon Days|album|15|2005-05-23|3102755|80|2024-07-16 08:36:08.959088
2dIGnmEIy1WZIcZCFSj6i8|3AA28KZvwAUcZuOKwyblJQ|Plastic Beach|album|16|2010-03-03|3413486|76|2024-07-16 08:36:08.959088
4tUxQkrduOE8sfgwJ5BI2F|3AA28KZvwAUcZuOKwyblJQ|Gorillaz|album|17|2001-03-26|3880901|70|2024-07-16 08:36:08.959088
0NvirtaDCaZU5PAW1O5FDE|3AA28KZvwAUcZuOKwyblJQ|Humanz (Deluxe)|album|26|2017-04-28|4151469|70|2024-07-16 08:36:08.959088
4wtZQMNTC1O79kDxMBsEan|3AA28KZvwAUcZuOKwyblJQ|Cracker Island|album|10|2023-02-24|2249194|67|2024-07-16 08:36:08.959088
7w38Cw9DHCC4U7lwiuUwFl|5dCpFeKxLbycrnsjWZjha8|Curses From Past Times|single|10|2011-11-22|2636061|43|2024-07-16 08:36:08.959088
08BEST3gT8ELlY5fmeDjmT|5dCpFeKxLbycrnsjWZjha8|March Winds & April Showers|single|1|2020-07-21|163630|38|2024-07-16 08:36:08.959088
13FfqxyK3Z3Kdap7VJO9y2|5dCpFeKxLbycrnsjWZjha8|Bubbles|single|6|2018-07-02|1429944|31|2024-07-16 08:36:08.959088
2LOInpXsmaJuaND5bRRE4J|5dCpFeKxLbycrnsjWZjha8|Curses From Past Times (Remastered)|album|11|2011-11-20|2750568|30|2024-07-16 08:36:08.959088
6WplX32rUPI6pyOzKC6N7C|5dCpFeKxLbycrnsjWZjha8|Moonswings|single|6|2024-06-20|1377375|35|2024-07-16 08:36:08.959088
56zc5Suk4wwLA6RVHokvZb|5dCpFeKxLbycrnsjWZjha8|What Lana Says|single|1|2018-04-24|279200|23|2024-07-16 08:36:08.959088
7l4MzWw89Us6buLOiDDtZf|5dCpFeKxLbycrnsjWZjha8|Feeding the Lions|single|9|2013-04-12|1844207|32|2024-07-16 08:36:08.959088
7b4eracknj8lTRlgHISQvh|5dCpFeKxLbycrnsjWZjha8|Rookie|single|8|2014-12-21|1532260|31|2024-07-16 08:36:08.959088
7tzVd1fwkxsorytCBjEJkU|1Xyo4u8uXC1ZmMpatF05PJ|The Idol Episode 4 (Music from the HBO Original Series)|single|3|2023-06-23|640090|84|2024-07-16 08:36:08.959088
2ODvWsOgouMbaA5xf0RkJe|1Xyo4u8uXC1ZmMpatF05PJ|Starboy|album|18|2016-11-25|4116074|87|2024-07-16 08:36:08.959088
4yP0hdKOZPNshxUOjY0cZj|1Xyo4u8uXC1ZmMpatF05PJ|After Hours|album|14|2020-03-20|3377568|87|2024-07-16 08:36:08.959088
4AdZV63ycxFLF6Hcol0QnB|1Xyo4u8uXC1ZmMpatF05PJ|Starboy|album|18|2016-11-24|4116074|82|2024-07-16 08:36:08.959088
5O0zUvdnJr0RbWzLFneN2i|1Xyo4u8uXC1ZmMpatF05PJ|Popular (Music from the HBO Original Series)|single|1|2023-06-02|215466|77|2024-07-16 08:36:08.959088
0P3oVJBFOv3TDXlYRhGL7s|1Xyo4u8uXC1ZmMpatF05PJ|Beauty Behind The Madness|album|14|2015-08-28|3912796|84|2024-07-16 08:36:08.959088
7txGsnDSqVMoRl6RQ9XyZP|1Xyo4u8uXC1ZmMpatF05PJ|HEROES & VILLAINS|album|15|2022-12-02|2884996|88|2024-07-16 08:36:08.959088
4qZBW3f2Q8y0k1A84d4iAO|1Xyo4u8uXC1ZmMpatF05PJ|My Dear Melancholy,|album|7|2018-03-30|1536183|81|2024-07-16 08:36:08.959088
6yiXkzHvC0OTmhfDQOEWtS|47mIJdHORyRerp4os813jD|Mercury - Acts 1 & 2|album|32|2022-07-01|6179908|82|2024-07-16 08:36:08.959088
30gnisiaho0Y6KRWJ7gIaA|47mIJdHORyRerp4os813jD|Legends Never Die|single|1|2017-09-15|235000|66|2024-07-16 08:36:08.959088
0rAaP1OBxVCn2cIUZNjGRs|47mIJdHORyRerp4os813jD|GODS|single|1|2023-10-04|220878|66|2024-07-16 08:36:08.959088
2Y9Kal9IDz6JphsCfY6GzG|47mIJdHORyRerp4os813jD|Enemy (from the series Arcane League of Legends)|single|1|2021-10-27|173381|62|2024-07-16 08:36:08.959088
6sGWFXm5IKtTBMFdIhNB9C|47mIJdHORyRerp4os813jD|RISE|single|1|2018-09-28|192881|61|2024-07-16 08:36:08.959088
1RPJNNRo1WUciegpWfioAc|47mIJdHORyRerp4os813jD|PARANOIA|single|1|2023-10-23|198817|60|2024-07-16 08:36:08.959088
0uyb1O2aodxewxYrAHzqIn|47mIJdHORyRerp4os813jD|Warriors|single|1|2020-01-10|204586|58|2024-07-16 08:36:08.959088
6IatiP8DCUD2ps9KvocWgA|47mIJdHORyRerp4os813jD|Phoenix|single|1|2019-10-08|197633|57|2024-07-16 08:36:08.959088
2cRJKhNgs1Snq7bV4ELLho|47mIJdHORyRerp4os813jD|Legends Never Die (Remix)|single|1|2017-11-02|167173|56|2024-07-16 08:36:08.959088
118EoTgIkMLl9fcutZfgaq|47mIJdHORyRerp4os813jD|Playground (from the series Arcane League of Legends)|single|1|2021-11-05|230525|52|2024-07-16 08:36:08.959088
6bfkwBrGYKJFk6Z4QVyjxd|5he5w2lnU9x7JFhnwcekXX|Skrillex and Diplo present Jack Ü|album|10|2015-02-24|2125955|68|2024-07-16 08:36:08.959088
11GmvpYnbgK0rSryPaV5BP|5he5w2lnU9x7JFhnwcekXX|JOSE|album|24|2021-09-10|4770565|71|2024-07-16 08:36:08.959088
7tWP3OG5dWphctKg4NMACt|5he5w2lnU9x7JFhnwcekXX|Quest For Fire|album|15|2023-02-17|2709088|67|2024-07-16 08:36:08.959088
6ZnRegEJuZRhLGrOKh0Y7n|5he5w2lnU9x7JFhnwcekXX|USB|album|13|2024-04-09|3323192|74|2024-07-16 08:36:08.959088
2X6WyzpxY70eUn3lnewB7d|5he5w2lnU9x7JFhnwcekXX|DATA|album|20|2023-06-29|3810643|80|2024-07-16 08:36:08.959088
5XJ2NeBxZP3HFM8VoBQEUe|5he5w2lnU9x7JFhnwcekXX|Bangarang EP|single|8|2011-12-27|2225116|64|2024-07-16 08:36:08.959088
