id_track|id_artist|id_album|name_track|duration_track_ms|popularity_track|number_track|position_track|extract_datetime
0d28khcov6AiegSCpG5TuT|3AA28KZvwAUcZuOKwyblJQ|0bUTHlWbkSQysoM3VsWldT|Feel Good Inc.|222640|84|6|0|2024-07-16 08:36:40.543668
0q6LuUqGLUiCPP1cbdwFs3|3AA28KZvwAUcZuOKwyblJQ|2dIGnmEIy1WZIcZCFSj6i8|On Melancholy Hill|233866|78|10|1|2024-07-16 08:36:40.543668
1RKUoGiLEbcXN4GY4spQDx|3AA28KZvwAUcZuOKwyblJQ|4tUxQkrduOE8sfgwJ5BI2F|Clint Eastwood|340920|75|5|2|2024-07-16 08:36:40.543668
4Hff1IjRbLGeLgFgxvHflk|3AA28KZvwAUcZuOKwyblJQ|0bUTHlWbkSQysoM3VsWldT|DARE|244999|76|12|3|2024-07-16 08:36:40.543668
1foMv2HQwfQ2vntFf9HFeG|3AA28KZvwAUcZuOKwyblJQ|2dIGnmEIy1WZIcZCFSj6i8|Rhinestone Eyes|200173|75|4|4|2024-07-16 08:36:40.543668
3lIxtCaROdRDuTnNBDm3n2|3AA28KZvwAUcZuOKwyblJQ|0NvirtaDCaZU5PAW1O5FDE|She's My Collar (feat. Kali Uchis)|209560|73|17|5|2024-07-16 08:36:40.543668
2bfGNzdiRa1jXZRdfssSzR|3AA28KZvwAUcZuOKwyblJQ|0bUTHlWbkSQysoM3VsWldT|Dirty Harry|230426|70|5|6|2024-07-16 08:36:40.543668
60SvhHtwefT0e2G7i7kOH3|3AA28KZvwAUcZuOKwyblJQ|4wtZQMNTC1O79kDxMBsEan|New Gold (feat. Tame Impala and Bootie Brown)|215149|66|5|7|2024-07-16 08:36:40.543668
38UYeBLfvpnDSG9GznZdnL|3AA28KZvwAUcZuOKwyblJQ|4wtZQMNTC1O79kDxMBsEan|Tormenta (feat. Bad Bunny)|193463|67|8|8|2024-07-16 08:36:40.543668
71koAFCnGnugRdGIDfS7f4|3AA28KZvwAUcZuOKwyblJQ|4tUxQkrduOE8sfgwJ5BI2F|19-2000|210880|64|11|9|2024-07-16 08:36:40.543668
2dECspJ1DpUObXrC3IZDkT|5dCpFeKxLbycrnsjWZjha8|7w38Cw9DHCC4U7lwiuUwFl|April Showers|275751|47|1|0|2024-07-16 08:36:40.543668
1LcmkyzIx3MIv04NOyfK3g|5dCpFeKxLbycrnsjWZjha8|08BEST3gT8ELlY5fmeDjmT|March Winds & April Showers|163630|46|1|1|2024-07-16 08:36:40.543668
1s5fL7wU0lod3sRdkOUVdp|5dCpFeKxLbycrnsjWZjha8|7w38Cw9DHCC4U7lwiuUwFl|Faidherbe Square|207336|40|10|2|2024-07-16 08:36:40.543668
