id_album|id_artist|name_album|type_album|popularity_album|total_tracks_album|release_date_album|duration_ms_total_album|duration_seconds_total_album|duration_minutes_total_album|transform_datetime
1aoWxOWHJNG1VPpJZwpYl2|3AA28KZvwAUcZuOKwyblJQ|Cracker Island (Deluxe)|album|59|15|2023-02-27|3201194|3201.194|53.353233333333336|2024-07-16 08:36:53.146831
4wtZQMNTC1O79kDxMBsEan|3AA28KZvwAUcZuOKwyblJQ|Cracker Island|album|67|10|2023-02-24|2249194|2249.194|37.48656666666667|2024-07-16 08:36:53.146831
5I9K0u8r52jp4Y2bF8mOaz|3AA28KZvwAUcZuOKwyblJQ|Song Machine, Season One: Strange Timez (Deluxe)|album|61|17|2020-10-23|3907772|3907.772|65.12953333333333|2024-07-16 08:36:53.146831
1amYhlukNF8WdaQC3gKkgL|3AA28KZvwAUcZuOKwyblJQ|The Now Now|album|64|11|2018-06-29|2447850|2447.85|40.7975|2024-07-16 08:36:53.146831
0NvirtaDCaZU5PAW1O5FDE|3AA28KZvwAUcZuOKwyblJQ|Humanz (Deluxe)|album|70|26|2017-04-28|4151469|4151.469|69.19115|2024-07-16 08:36:53.146831
0J3u0IeHzuymSz7v934vrd|3AA28KZvwAUcZuOKwyblJQ|Demon Days Live at the Manchester Opera House|album|38|17|2011-11-25|3980527|3980.527|66.34211666666667|2024-07-16 08:36:53.146831
2dIGnmEIy1WZIcZCFSj6i8|3AA28KZvwAUcZuOKwyblJQ|Plastic Beach|album|76|16|2010-03-03|3413486|3413.486|56.89143333333333|2024-07-16 08:36:53.146831
5jJGGsAztgUEXUHHZ2zrah|3AA28KZvwAUcZuOKwyblJQ|The Fall|album|50|15|2010-01-01|2606686|2606.686|43.444766666666666|2024-07-16 08:36:53.146831
2w4tLG1JH25BysuILfkI0x|3AA28KZvwAUcZuOKwyblJQ|D-Sides [Special Edition]|album|42|23|2007-11-19|7434463|7434.463|123.90771666666667|2024-07-16 08:36:53.146831
0pdYY0CHFRVFLBZEPEKTMZ|3AA28KZvwAUcZuOKwyblJQ|D-Sides|album|48|22|2007-11-19|7037517|7037.517|117.29195|2024-07-16 08:36:53.146831
0bUTHlWbkSQysoM3VsWldT|3AA28KZvwAUcZuOKwyblJQ|Demon Days|album|80|15|2005-05-23|3102755|3102.755|51.712583333333335|2024-07-16 08:36:53.146831
0yPLNfI8WPJWFoJugr0KAv|3AA28KZvwAUcZuOKwyblJQ|Laika Come Home|album|38|12|2002-07-01|4574422|4574.422|76.24036666666667|2024-07-16 08:36:53.146831
4tUxQkrduOE8sfgwJ5BI2F|3AA28KZvwAUcZuOKwyblJQ|Gorillaz|album|70|17|2001-03-26|3880901|3880.901|64.68168333333334|2024-07-16 08:36:53.146831
46FF9KeHjvIt8xjm2JwJ8I|5dCpFeKxLbycrnsjWZjha8|Fairuz|album|19|10|2022-10-20|2320129|2320.129|38.668816666666665|2024-07-16 08:36:53.146831
0J0S6tESTUX4ePm82lsqJc|5dCpFeKxLbycrnsjWZjha8|Rookie (Remastered)|album|16|8|2014-11-30|1633213|1633.213|27.220216666666666|2024-07-16 08:36:53.146831
0VV4tdDpvO7iPwV8zhei9h|5dCpFeKxLbycrnsjWZjha8|Feeding The Lions (Remastered)|album|9|8|2013-04-12|1607213|1607.213|26.786883333333332|2024-07-16 08:36:53.146831
2LOInpXsmaJuaND5bRRE4J|5dCpFeKxLbycrnsjWZjha8|Curses From Past Times (Remastered)|album|30|11|2011-11-20|2750568|2750.568|45.8428|2024-07-16 08:36:53.146831
35dut3ICqF3NEDkjxfzJJ1|1Xyo4u8uXC1ZmMpatF05PJ|Starboy (Deluxe)|album|72|21|2023-03-14|4815615|4815.615|80.26025|2024-07-16 08:36:53.146831
1OARrXe5sB0gyy3MhQ8h92|1Xyo4u8uXC1ZmMpatF05PJ|Live At SoFi Stadium|album|62|31|2023-03-03|5723056|5723.056|95.38426666666666|2024-07-16 08:36:53.146831
12INlMsFtBjyehNnawBv36|1Xyo4u8uXC1ZmMpatF05PJ|Dawn FM (Alternate World)|album|59|24|2022-01-07|4851784|4851.784|80.86306666666667|2024-07-16 08:36:53.146831
2nLOHgzXzwFEpl62zAgCEC|1Xyo4u8uXC1ZmMpatF05PJ|Dawn FM|album|80|16|2022-01-06|3109136|3109.136|51.818933333333334|2024-07-16 08:36:53.146831
742eAldb4AJKLoPgJhGRE7|1Xyo4u8uXC1ZmMpatF05PJ|After Hours (Deluxe)|album|61|18|2020-03-20|4123314|4123.314|68.7219|2024-07-16 08:36:53.146831
4yP0hdKOZPNshxUOjY0cZj|1Xyo4u8uXC1ZmMpatF05PJ|After Hours|album|87|14|2020-03-20|3377568|3377.568|56.2928|2024-07-16 08:36:53.146831
4qZBW3f2Q8y0k1A84d4iAO|1Xyo4u8uXC1ZmMpatF05PJ|My Dear Melancholy,|album|81|7|2018-03-30|1536183|1536.183|25.60305|2024-07-16 08:36:53.146831
2ODvWsOgouMbaA5xf0RkJe|1Xyo4u8uXC1ZmMpatF05PJ|Starboy|album|87|18|2016-11-25|4116074|4116.074|68.60123333333334|2024-07-16 08:36:53.146831
0P3oVJBFOv3TDXlYRhGL7s|1Xyo4u8uXC1ZmMpatF05PJ|Beauty Behind The Madness|album|84|14|2015-08-28|3912796|3912.796|65.21326666666667|2024-07-16 08:36:53.146831
6wRev1uYL0JsMsWqktJuVi|1Xyo4u8uXC1ZmMpatF05PJ|Kiss Land (Deluxe)|album|55|12|2013-09-10|3898463|3898.463|64.97438333333334|2024-07-16 08:36:53.146831
3hhDpPtCFuQbppwYgsVhMO|1Xyo4u8uXC1ZmMpatF05PJ|Kiss Land|album|60|10|2013-09-10|3339917|3339.917|55.665283333333335|2024-07-16 08:36:53.146831
2XGEyGU76kj55OdHWynX0S|1Xyo4u8uXC1ZmMpatF05PJ|Trilogy|album|65|30|2012-11-13|9594945|9594.945|159.91575|2024-07-16 08:36:53.146831
04hy4jb1GDD00otiwzsFUB|1Xyo4u8uXC1ZmMpatF05PJ|Echoes Of Silence (Original)|album|58|9|2011-12-21|2747876|2747.876|45.79793333333333|2024-07-16 08:36:53.146831
6F87lH0I09qlrzvCCKc7lz|1Xyo4u8uXC1ZmMpatF05PJ|Thursday (Original)|album|59|9|2011-08-18|3019416|3019.416|50.3236|2024-07-16 08:36:53.146831
7zCODUHkfuRxsUjtuzNqbd|1Xyo4u8uXC1ZmMpatF05PJ|House Of Balloons (Original)|album|77|9|2011-03-21|2963231|2963.231|49.38718333333333|2024-07-16 08:36:53.146831
2cemTfQCrehWyWsvcttzWi|47mIJdHORyRerp4os813jD|Inkborn Fables (Original Soundtrack from Teamfight Tactics Set 11)|album|39|13|2024-05-14|1385051|1385.051|23.084183333333332|2024-07-16 08:36:53.146831
0MH5waArFmz3ipOISR7ViT|47mIJdHORyRerp4os813jD|REMIX RUMBLE (Original Soundtrack from Teamfight Tactics Set 10)|album|45|29|2023-12-10|5286684|5286.684|88.1114|2024-07-16 08:36:53.146831
3GsCkaTW7YYmcy0RtR1OJq|47mIJdHORyRerp4os813jD|Runeterra Reforged (Original Soundtrack)|album|23|9|2023-06-13|1802262|1802.262|30.0377|2024-07-16 08:36:53.146831
0lt1kbCzhh0KgKLQrZauSz|47mIJdHORyRerp4os813jD|CONVERGENCE: A League of Legends Story (Original Soundtrack)|album|27|47|2023-05-31|7865401|7865.401|131.09001666666666|2024-07-16 08:36:53.146831
0ys87uqKvKCY8QfR0apcyY|47mIJdHORyRerp4os813jD|The Mageseeker: A League of Legends Story (Official Soundtrack)|album|28|56|2023-04-18|10282538|10282.538|171.37563333333333|2024-07-16 08:36:53.146831
5a3R3wxx4SURufgfrgxwdV|47mIJdHORyRerp4os813jD|Sessions: Star Guardian Taliyah|album|42|29|2022-07-11|5677265|5677.265|94.62108333333333|2024-07-16 08:36:53.146831
524MIbuattv09j7FW5NVu2|47mIJdHORyRerp4os813jD|Sessions: Diana|album|44|43|2021-12-10|6939991|6939.991|115.66651666666667|2024-07-16 08:36:53.146831
0jV32pIk8l3vTaU3thTaW2|47mIJdHORyRerp4os813jD|Arcane League of Legends (Soundtrack from the Animated Series)|album|36|11|2021-11-20|2220504|2220.504|37.0084|2024-07-16 08:36:53.146831
74xyQczqTw73smMtY0FHVE|47mIJdHORyRerp4os813jD|Arcane League of Legends (Original Score from Act 3 of the Animated Series)|album|40|33|2021-11-15|3496044|3496.044|58.2674|2024-07-16 08:36:53.146831
2JM5jDuSkkjpjJn4Dxymew|47mIJdHORyRerp4os813jD|Arcane League of Legends (Original Score from Act 2 of the Animated Series)|album|42|28|2021-11-08|2807216|2807.216|46.78693333333333|2024-07-16 08:36:53.146831
36O80DdzP2pUvkPuKqmJ6H|47mIJdHORyRerp4os813jD|Arcane League of Legends (Original Score from Act 1 of the Animated Series)|album|43|29|2021-11-01|3066613|3066.613|51.110216666666666|2024-07-16 08:36:53.146831
4BI0o8MQXotNlNIzQl5fGC|47mIJdHORyRerp4os813jD|Echoes of Light|album|35|9|2021-08-06|2069412|2069.412|34.4902|2024-07-16 08:36:53.146831
4WvKA2Da1YSVLyrW6aTNaK|47mIJdHORyRerp4os813jD|Sessions: Vi|album|41|36|2021-07-02|5870626|5870.626|97.84376666666667|2024-07-16 08:36:53.146831
3cYnSSnBe1akJwxv64PHOg|47mIJdHORyRerp4os813jD|The Music of League of Legends: Season 9 (Original Game Soundtrack)|album|41|20|2019-10-15|3325308|3325.308|55.4218|2024-07-16 08:36:53.146831
4KU0DROuCgQhGABoWvuH6E|47mIJdHORyRerp4os813jD|The Music of League of Legends: Season 8 (Original Game Soundtrack)|album|40|39|2019-10-14|5347644|5347.644|89.1274|2024-07-16 08:36:53.146831
