id_artist|name_artist|q_followers|popularity|transform_datetime
3AA28KZvwAUcZuOKwyblJQ|Gorillaz|11827037|79|2024-07-16 08:36:55.531502
5dCpFeKxLbycrnsjWZjha8|Proleter|119145|44|2024-07-16 08:36:55.531502
1Xyo4u8uXC1ZmMpatF05PJ|The Weeknd|86127221|93|2024-07-16 08:36:55.531502
47mIJdHORyRerp4os813jD|League of Legends|1863031|75|2024-07-16 08:36:55.531502
5he5w2lnU9x7JFhnwcekXX|Skrillex|7604981|75|2024-07-16 08:36:55.531502
4tZwfgrHOc3mvqYlEYSvVi|Daft Punk|9976582|80|2024-07-16 08:36:55.531502
6olE6TJLqED3rqDCT0FyPh|Nirvana|19707395|81|2024-07-16 08:36:55.531502
1LFGVkNRmXz8jIkyPjaGNL|De Hofnar|63249|53|2024-07-16 08:36:55.531502
1moxjboGR7GNWYIMWsRjgG|Florence + The Machine|6741641|77|2024-07-16 08:36:55.531502
0iEtIxbK0KxaSlF7G42ZOp|Metro Boomin|8614792|90|2024-07-16 08:36:55.531502
13JJKrUewC1CJYmIDXQNoH|El Cuarteto De Nos|2042505|69|2024-07-16 08:36:55.531502
4sTQVOfp9vEMCemLw50sbu|Galantis|3362483|71|2024-07-16 08:36:55.531502
7dGJo4pcD2V6oG8kP0tJRR|Eminem|86753964|93|2024-07-16 08:36:55.531502
4gOc8TsQed9eqnqJct2c5v|K/DA|2159277|61|2024-07-16 08:36:55.531502
6urkHDoIVO1WO8vNIwcJmM|Die Antwoord|1728702|58|2024-07-16 08:36:55.531502
0L8ExT028jH3ddEcZwqJJ5|Red Hot Chili Peppers|20931469|83|2024-07-16 08:36:55.531502
6aJRwrwfOffz7RMh2Cfm8e|Jacob Tillberg|50566|46|2024-07-16 08:36:55.531502
6XyY86QOPPrYVGvF9ch6wz|Linkin Park|25741959|85|2024-07-16 08:36:55.531502
3wrFoI9EVjWg6m8xXeWr5t|VALORANT|334593|62|2024-07-16 08:36:55.531502
7MqnCTCAX6SsIYYdJCQj9B|Pendulum|944355|60|2024-07-16 08:36:55.531502
2DuJi13MWHjRHrqRUwk8vH|Knife Party|893275|52|2024-07-16 08:36:55.531502
4q3ewBCX7sLwd24euuV69X|Bad Bunny|83507774|94|2024-07-16 08:36:55.531502
2R21vXR83lH98kGeO99Y66|Anuel AA|36362936|87|2024-07-16 08:36:55.531502
0M2HHtY3OOQzIZxrHkbJLT|"M|O|O|N"|136347|45|2024-07-16 08:36:55.531502
1MP09zUMR59XDHNun4i351|La Mente|28840|24|2024-07-16 08:36:55.531502
2xiIXseIJcq3nG7C8fHeBj|Three Days Grace|6150295|74|2024-07-16 08:36:55.531502
3FRWDHyo1pZx7AFN6DAavS|Fadex|4666|15|2024-07-16 08:36:55.531502
2vpCOy0TgMvwkqciNZhKPB|La Nueva Invasión|18201|19|2024-07-16 08:36:55.531502
1vCWHaC5f2uS3yhpwWbIA6|Avicii|22870373|80|2024-07-16 08:36:55.531502
0TnOYISbd1XYRBk9myaseg|Pitbull|10507078|84|2024-07-16 08:36:55.531502
